Running training on CPU
Loading dataset train
Found pregenerated data dir. Using pregenerated data.
Loading complete. Took 0.00 s.
Loading dataset validation
Found pregenerated data dir. Using pregenerated data.
Loading complete. Took 0.00 s.
Building models...
Completed model building. Took 0.17 s.
                                                                                                                                                               
Preparation complete. Starting training...
Training VAE model...
Running validation...
{'valid_loss': 2.218, 'loss_diff': 0.0, 'epoch': 0, 'batch': 0}
{'valid_loss': 2.255, 'loss_diff': 0.0, 'epoch': 0, 'batch': 1}
{'valid_loss': 2.195, 'loss_diff': 0.0, 'epoch': 0, 'batch': 2}
{'valid_loss': 2.214, 'loss_diff': 0.0, 'epoch': 0, 'batch': 3}
{'valid_loss': 2.273, 'loss_diff': 0.0, 'epoch': 0, 'batch': 4}
{'valid_loss': 2.285, 'loss_diff': 0.0, 'epoch': 0, 'batch': 5}
{'valid_loss': 2.271, 'loss_diff': 0.0, 'epoch': 0, 'batch': 6}
{'valid_loss': 2.22, 'loss_diff': 0.0, 'epoch': 0, 'batch': 7}
{'valid_loss': 2.268, 'loss_diff': 0.0, 'epoch': 0, 'batch': 8}
{'valid_loss': 2.212, 'loss_diff': 0.0, 'epoch': 0, 'batch': 9}
{'valid_loss': 2.228, 'loss_diff': 0.0, 'epoch': 0, 'batch': 10}
{'valid_loss': 2.253, 'loss_diff': 0.0, 'epoch': 0, 'batch': 11}
{'valid_loss': 2.217, 'loss_diff': 0.0, 'epoch': 0, 'batch': 12}
{'valid_loss': 2.217, 'loss_diff': 0.0, 'epoch': 0, 'batch': 13}
{'valid_loss': 2.28, 'loss_diff': 0.0, 'epoch': 0, 'batch': 14}
{'valid_loss': 2.175, 'loss_diff': 0.0, 'epoch': 0, 'batch': 15}
{'valid_loss': 2.151, 'loss_diff': 0.0, 'epoch': 0, 'batch': 16}
{'valid_loss': 2.172, 'loss_diff': 0.0, 'epoch': 0, 'batch': 17}
{'valid_loss': 2.213, 'loss_diff': 0.0, 'epoch': 0, 'batch': 18}
{'valid_loss': 2.229, 'loss_diff': 0.0, 'epoch': 0, 'batch': 19}
{'valid_loss': 2.277, 'loss_diff': 0.0, 'epoch': 0, 'batch': 20}
{'valid_loss': 2.301, 'loss_diff': 0.0, 'epoch': 0, 'batch': 21}
{'valid_loss': 2.294, 'loss_diff': 0.0, 'epoch': 0, 'batch': 22}
{'valid_loss': 2.238, 'loss_diff': 0.0, 'epoch': 0, 'batch': 23}
{'valid_loss': 2.255, 'loss_diff': 0.0, 'epoch': 0, 'batch': 24}
{'valid_loss': 2.298, 'loss_diff': 0.0, 'epoch': 0, 'batch': 25}
{'valid_loss': 2.28, 'loss_diff': 0.0, 'epoch': 0, 'batch': 26}
{'valid_loss': 2.288, 'loss_diff': 0.0, 'epoch': 0, 'batch': 27}
{'valid_loss': 2.295, 'loss_diff': 0.0, 'epoch': 0, 'batch': 28}
{'valid_loss': 2.294, 'loss_diff': 0.0, 'epoch': 0, 'batch': 29}
{'valid_loss': 2.301, 'loss_diff': 0.0, 'epoch': 0, 'batch': 30}
{'valid_loss': 2.351, 'loss_diff': 0.0, 'epoch': 0, 'batch': 31}
{'valid_loss': 2.334, 'loss_diff': 0.0, 'epoch': 0, 'batch': 32}
{'valid_loss': 2.283, 'loss_diff': 0.0, 'epoch': 0, 'batch': 33}
{'valid_loss': 2.31, 'loss_diff': 0.0, 'epoch': 0, 'batch': 34}
{'valid_loss': 2.359, 'loss_diff': 0.0, 'epoch': 0, 'batch': 35}
{'valid_loss': 2.346, 'loss_diff': 0.0, 'epoch': 0, 'batch': 36}
{'valid_loss': 2.344, 'loss_diff': 0.0, 'epoch': 0, 'batch': 37}
{'valid_loss': 2.325, 'loss_diff': 0.0, 'epoch': 0, 'batch': 38}
{'valid_loss': 2.351, 'loss_diff': 0.0, 'epoch': 0, 'batch': 39}
{'valid_loss': 2.308, 'loss_diff': 0.0, 'epoch': 0, 'batch': 40}
{'valid_loss': 2.281, 'loss_diff': 0.0, 'epoch': 0, 'batch': 41}
{'valid_loss': 2.301, 'loss_diff': 0.0, 'epoch': 0, 'batch': 42}
{'valid_loss': 2.314, 'loss_diff': 0.0, 'epoch': 0, 'batch': 43}
{'valid_loss': 2.278, 'loss_diff': 0.0, 'epoch': 0, 'batch': 44}
{'valid_loss': 2.279, 'loss_diff': 0.0, 'epoch': 0, 'batch': 45}
{'valid_loss': 2.275, 'loss_diff': 0.0, 'epoch': 0, 'batch': 46}
{'valid_loss': 2.331, 'loss_diff': 0.0, 'epoch': 0, 'batch': 47}
{'valid_loss': 2.335, 'loss_diff': 0.0, 'epoch': 0, 'batch': 48}
{'valid_loss': 2.295, 'loss_diff': 0.0, 'epoch': 0, 'batch': 49}
{'valid_loss': 2.272, 'loss_diff': 0.0, 'epoch': 0, 'batch': 50}
{'valid_loss': 2.184, 'loss_diff': 0.0, 'epoch': 0, 'batch': 51}
{'valid_loss': 2.217, 'loss_diff': 0.0, 'epoch': 0, 'batch': 52}
{'valid_loss': 2.194, 'loss_diff': 0.0, 'epoch': 0, 'batch': 53}
{'valid_loss': 2.27, 'loss_diff': 0.0, 'epoch': 0, 'batch': 54}
{'valid_loss': 2.227, 'loss_diff': 0.0, 'epoch': 0, 'batch': 55}
{'valid_loss': 2.256, 'loss_diff': 0.0, 'epoch': 0, 'batch': 56}
{'valid_loss': 2.21, 'loss_diff': 0.0, 'epoch': 0, 'batch': 57}
{'valid_loss': 2.208, 'loss_diff': 0.0, 'epoch': 0, 'batch': 58}
{'valid_loss': 2.248, 'loss_diff': 0.0, 'epoch': 0, 'batch': 59}
